fold,threshold,accuracy,precision,recall,f1
1,0.35,0.7895708352561145,0.6190637720488467,0.8816425120772947,0.7273814268632921
1,0.4,0.8094139363174896,0.6598691804540208,0.8285024154589372,0.7346326836581709
1,0.45,0.8232579603137978,0.7017082785808147,0.7739130434782608,0.7360441075120606
2,0.35,0.7873846153846153,0.6159811193526635,0.8826086956521739,0.7255758538522638
2,0.4,0.811076923076923,0.6620477290223249,0.8309178743961353,0.7369323050556984
2,0.45,0.8252307692307692,0.7073712255772646,0.7695652173913043,0.7371587228135122
3,0.35,0.7898461538461539,0.6181208053691275,0.8898550724637682,0.7295049504950495
3,0.4,0.8152307692307692,0.6662839647914275,0.8410628019323672,0.7435404655135597
3,0.45,0.8289230769230769,0.7095363079615048,0.7835748792270532,0.7447199265381084
